,DT,SZN,HT,AT,FTHG,FTAG,R,H,D,A,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Unnamed: 5,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,B365H_P,B365D_P,B365A_P,BWH_P,BWD_P,BWA_P,GBH_P,GBD_P,GBA_P,IWH_P,IWD_P,IWA_P,LBH_P,LBD_P,LBA_P,SBH_P,SBD_P,SBA_P,WHH_P,WHD_P,WHA_P,SJH_P,SJD_P,SJA_P,VCH_P,VCD_P,VCA_P,BSH_P,BSD_P,BSA_P,CUM_H_W,CUM_H_D,CUM_H_L,CUM_A_W,CUM_A_D,CUM_A_L
10,2008-08-23,2008-2009,Blackburn,Hull,1,1,1,0,1,0,D,1,1,D,S Attwell,12,7,5,4,11,15,6,3,0,1,0,0,1,1.57,3.75,7.0,1.55,3.45,6.0,1.6,3.6,5.5,1.6,3.6,4.8,1.62,3.6,6.0,1.57,3.5,5.5,1.57,3.8,6.0,1.62,3.6,6.0,1.55,3.75,7.0,1.57,3.6,6.0,43.0,1.62,1.58,3.91,3.64,7.42,6.16,37.0,2.1,1.98,1.9,1.76,24.0,0.0,1.2,1.19,4.5,4.23,0.636942675,0.266666667,0.142857143,0.64516129,0.289855072,0.166666667,0.625,0.277777778,0.181818182,0.625,0.277777778,0.208333333,0.617283951,0.277777778,0.166666667,0.636942675,0.285714286,0.181818182,0.636942675,0.263157895,0.166666667,0.617283951,0.277777778,0.166666667,0.64516129,0.266666667,0.142857143,0.636942675,0.277777778,0.166666667,0,0,1,0,0,1
11,2008-08-23,2008-2009,Fulham,Arsenal,1,0,2,1,0,0,H,1,0,H,M Atkinson,5,15,2,6,14,6,1,5,2,0,0,0,2,6.5,3.75,1.57,6.0,3.45,1.55,6.0,3.5,1.6,5.0,3.5,1.6,6.0,3.6,1.62,5.5,3.5,1.57,6.0,3.8,1.57,6.5,3.75,1.57,6.5,3.9,1.55,6.0,3.6,1.57,42.0,6.8,6.09,3.91,3.65,1.63,1.58,37.0,2.08,1.95,1.89,1.8,24.0,0.75,2.12,2.06,1.84,1.81,0.153846154,0.266666667,0.636942675,0.166666667,0.289855072,0.64516129,0.166666667,0.285714286,0.625,0.2,0.285714286,0.625,0.166666667,0.277777778,0.617283951,0.181818182,0.285714286,0.636942675,0.166666667,0.263157895,0.636942675,0.153846154,0.266666667,0.636942675,0.153846154,0.256410256,0.64516129,0.166666667,0.277777778,0.636942675,1,0,0,0,0,1
12,2008-08-23,2008-2009,Liverpool,Middlesbrough,2,1,2,1,0,0,H,0,0,D,M Riley,16,9,8,4,10,12,14,3,2,1,0,0,2,1.36,4.5,10.0,1.35,4.5,7.2,1.38,4.33,8.0,1.4,4.0,6.5,1.4,4.2,9.0,1.33,4.5,8.0,1.36,4.5,9.5,1.4,4.5,8.0,1.4,4.6,8.5,1.4,4.0,8.5,42.0,1.4,1.37,4.8,4.38,10.91,8.86,36.0,2.01,1.88,1.97,1.85,24.0,-1.25,1.92,1.9,2.03,1.97,0.735294118,0.222222222,0.1,0.740740741,0.222222222,0.138888889,0.724637681,0.230946882,0.125,0.714285714,0.25,0.153846154,0.714285714,0.238095238,0.111111111,0.751879699,0.222222222,0.125,0.735294118,0.222222222,0.105263158,0.714285714,0.222222222,0.125,0.714285714,0.217391304,0.117647059,0.714285714,0.25,0.117647059,0,0,1,0,0,1
13,2008-08-23,2008-2009,Newcastle,Bolton,1,0,2,1,0,0,H,0,0,D,S Bennett,10,9,8,4,8,13,4,6,1,2,0,0,2,1.8,3.5,4.75,1.7,3.35,4.7,1.8,3.3,4.5,1.75,3.3,4.2,1.8,3.5,4.5,1.7,3.4,4.5,1.83,3.4,4.5,1.8,3.5,4.5,1.8,3.5,4.8,1.8,3.25,4.75,43.0,1.87,1.78,3.6,3.43,5.05,4.61,37.0,2.16,2.06,1.77,1.7,24.0,0.0,1.3,1.29,3.8,3.45,0.555555556,0.285714286,0.210526316,0.588235294,0.298507463,0.212765957,0.555555556,0.303030303,0.222222222,0.571428571,0.303030303,0.238095238,0.555555556,0.285714286,0.222222222,0.588235294,0.294117647,0.222222222,0.546448087,0.294117647,0.222222222,0.555555556,0.285714286,0.222222222,0.555555556,0.285714286,0.208333333,0.555555556,0.307692308,0.210526316,0,1,0,0,0,1
14,2008-08-23,2008-2009,Stoke,Aston Villa,3,2,2,1,0,0,H,1,0,H,M Halsey,8,5,2,2,15,5,2,8,1,0,0,0,2,5.0,3.6,1.73,4.65,3.4,1.7,5.0,3.4,1.73,4.3,3.4,1.7,5.0,3.25,1.8,4.5,3.4,1.7,5.0,3.6,1.7,5.0,3.5,1.73,5.3,3.7,1.7,5.0,3.3,1.73,42.0,5.77,5.01,3.76,3.51,1.75,1.7,36.0,2.0,1.91,1.93,1.82,23.0,0.0,4.0,3.56,1.3,1.27,0.2,0.277777778,0.578034682,0.215053763,0.294117647,0.588235294,0.2,0.294117647,0.578034682,0.23255814,0.294117647,0.588235294,0.2,0.307692308,0.555555556,0.222222222,0.294117647,0.588235294,0.2,0.277777778,0.588235294,0.2,0.285714286,0.578034682,0.188679245,0.27027027,0.588235294,0.2,0.303030303,0.578034682,1,0,0,0,0,1
15,2008-08-23,2008-2009,Tottenham,Sunderland,1,2,0,0,0,1,A,0,0,D,M Dean,18,12,11,7,12,12,12,6,1,2,0,0,0,1.5,4.0,7.0,1.4,4.0,7.5,1.53,3.75,6.5,1.5,3.8,5.5,1.53,3.75,7.0,1.45,3.8,6.75,1.44,4.2,7.5,1.5,3.8,7.5,1.5,4.2,7.0,1.5,3.75,6.5,42.0,1.57,1.49,4.2,3.85,7.8,7.01,36.0,1.84,1.75,2.1,2.0,24.0,-1.0,1.9,1.86,2.04,2.01,0.666666667,0.25,0.142857143,0.714285714,0.25,0.133333333,0.653594771,0.266666667,0.153846154,0.666666667,0.263157895,0.181818182,0.653594771,0.266666667,0.142857143,0.689655172,0.263157895,0.148148148,0.694444444,0.238095238,0.133333333,0.666666667,0.263157895,0.133333333,0.666666667,0.238095238,0.142857143,0.666666667,0.266666667,0.153846154,1,0,0,1,0,0
16,2008-08-23,2008-2009,West Brom,Everton,1,2,0,0,0,1,A,0,0,D,R Styles,14,9,4,7,11,14,11,5,3,1,0,0,0,2.88,3.25,2.5,2.65,3.15,2.45,2.75,3.2,2.5,2.8,3.1,2.3,2.8,3.3,2.5,2.6,3.2,2.5,2.62,3.3,2.62,2.88,3.2,2.5,2.9,3.3,2.5,2.7,3.25,2.5,43.0,3.05,2.8,3.36,3.23,2.62,2.48,37.0,2.25,2.14,1.74,1.65,24.0,0.0,2.16,2.03,1.83,1.77,0.347222222,0.307692308,0.4,0.377358491,0.317460317,0.408163265,0.363636364,0.3125,0.4,0.357142857,0.322580645,0.434782609,0.357142857,0.303030303,0.4,0.384615385,0.3125,0.4,0.381679389,0.303030303,0.381679389,0.347222222,0.3125,0.4,0.344827586,0.303030303,0.4,0.37037037,0.307692308,0.4,1,0,0,1,0,0
17,2008-08-24,2008-2009,Man City,West Ham,3,0,2,1,0,0,H,0,0,D,H Webb,14,3,9,0,12,16,6,3,0,2,0,1,2,2.3,3.25,3.2,2.1,3.15,3.25,2.25,3.25,3.1,2.1,3.2,3.1,2.25,3.3,3.2,2.25,3.2,2.9,2.25,3.3,3.2,2.2,3.2,3.4,2.3,3.25,3.3,2.25,3.25,3.0,41.0,2.4,2.25,3.4,3.25,3.4,3.15,36.0,2.33,2.17,1.7,1.63,24.0,0.0,1.71,1.63,2.33,2.22,0.434782609,0.307692308,0.3125,0.476190476,0.317460317,0.307692308,0.444444444,0.307692308,0.322580645,0.476190476,0.3125,0.322580645,0.444444444,0.303030303,0.3125,0.444444444,0.3125,0.344827586,0.444444444,0.303030303,0.3125,0.454545455,0.3125,0.294117647,0.434782609,0.307692308,0.303030303,0.444444444,0.307692308,0.333333333,1,0,0,0,0,1
18,2008-08-24,2008-2009,Wigan,Chelsea,0,1,0,0,0,1,A,0,1,A,A Wiley,10,7,6,3,13,17,7,7,1,2,0,0,0,8.5,4.5,1.4,8.0,4.25,1.35,7.5,4.25,1.42,6.5,4.0,1.4,8.0,4.0,1.44,7.5,4.0,1.4,8.5,4.33,1.4,8.0,4.5,1.4,8.0,4.8,1.4,8.5,3.75,1.44,42.0,9.49,8.2,4.83,4.25,1.45,1.4,36.0,2.08,1.97,1.85,1.77,24.0,1.25,1.91,1.86,2.04,2.01,0.117647059,0.222222222,0.714285714,0.125,0.235294118,0.740740741,0.133333333,0.235294118,0.704225352,0.153846154,0.25,0.714285714,0.125,0.25,0.694444444,0.133333333,0.25,0.714285714,0.117647059,0.230946882,0.714285714,0.125,0.222222222,0.714285714,0.125,0.208333333,0.714285714,0.117647059,0.266666667,0.694444444,1,0,0,0,0,1
19,2008-08-25,2008-2009,Portsmouth,Man United,0,1,0,0,0,1,A,0,1,A,C Foy,13,12,6,7,11,11,4,3,2,2,0,0,0,4.8,3.4,1.8,5.0,3.4,1.65,4.6,3.3,1.83,4.2,3.3,1.75,5.0,3.5,1.73,4.5,3.4,1.7,4.8,3.3,1.8,5.0,3.25,1.8,5.0,3.4,1.8,5.0,3.4,1.75,46.0,5.13,4.71,3.5,3.33,1.91,1.78,38.0,2.25,2.07,1.77,1.71,27.0,0.0,3.75,3.44,1.34,1.29,0.208333333,0.294117647,0.555555556,0.2,0.294117647,0.606060606,0.217391304,0.303030303,0.546448087,0.238095238,0.303030303,0.571428571,0.2,0.285714286,0.578034682,0.222222222,0.294117647,0.588235294,0.208333333,0.303030303,0.555555556,0.2,0.307692308,0.555555556,0.2,0.294117647,0.555555556,0.2,0.294117647,0.571428571,1,0,0,0,1,0
