home_team,away_team,home_goals,away_goals,result,result,h_win,h_tie,h_loss,season,home_wins,home_ties,home_loss,away_wins,away_ties,away_loss,h_total_games,a_total_games,h_w_pct,h_d_pct,h_l_pct,a_w_pct,a_d_pct,a_l_pct,home_l1_wins,home_l1_ties,home_l1_loss,away_l1_wins,away_l1_ties,away_l1_loss,home_l2_wins,home_l2_ties,home_l2_loss,away_l2_wins,away_l2_ties,away_l2_loss,home_l3_wins,home_l3_ties,home_l3_loss,away_l3_wins,away_l3_ties,away_l3_loss,home_l4_wins,home_l4_ties,home_l4_loss,away_l4_wins,away_l4_ties,away_l4_loss,home_l5_wins,home_l5_ties,home_l5_loss,away_l5_wins,away_l5_ties,away_l5_loss,home_l6_wins,home_l6_ties,home_l6_loss,away_l6_wins,away_l6_ties,away_l6_loss,home_l7_wins,home_l7_ties,home_l7_loss,away_l7_wins,away_l7_ties,away_l7_loss,home_l8_wins,home_l8_ties,home_l8_loss,away_l8_wins,away_l8_ties,away_l8_loss,home_l9_wins,home_l9_ties,home_l9_loss,away_l9_wins,away_l9_ties,away_l9_loss,home_l10_wins,home_l10_ties,home_l10_loss,away_l10_wins,away_l10_ties,away_l10_loss,home_l12_wins,home_l12_ties,home_l12_loss,away_l12_wins,away_l12_ties,away_l12_loss,home_l14_wins,home_l14_ties,home_l14_loss,away_l14_wins,away_l14_ties,away_l14_loss,home_l16_wins,home_l16_ties,home_l16_loss,away_l16_wins,away_l16_ties,away_l16_loss,home_l18_wins,home_l18_ties,home_l18_loss,away_l18_wins,away_l18_ties,away_l18_loss,home_l20_wins,home_l20_ties,home_l20_loss,away_l20_wins,away_l20_ties,away_l20_loss
Chelsea,Wigan Athletic,4,0,H,2,1,0,0,2006-2007,14,6,2,6,4,11,22,21,0.636363636,0.272727273,0.090909091,0.285714286,0.19047619,0.523809524,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0.25,0.75,0,0,0,1,0.4,0.6,0,0,0,1,0.5,0.5,0,0,0.166666667,0.833333333,0.428571429,0.571428571,0,0.142857143,0.142857143,0.714285714,0.5,0.5,0,0.125,0.125,0.75,0.444444444,0.555555556,0,0.111111111,0.111111111,0.777777778,0.5,0.5,0,0.1,0.2,0.7,0.5,0.416666667,0.083333333,0.25,0.166666667,0.583333333,0.571428571,0.357142857,0.071428571,0.357142857,0.142857143,0.5,0.5625,0.375,0.0625,0.3125,0.125,0.5625,0.611111111,0.333333333,0.055555556,0.277777778,0.222222222,0.5,0.65,0.3,0.05,0.3,0.2,0.5
Manchester United,Aston Villa,3,1,H,2,1,0,0,2006-2007,17,3,2,5,11,6,22,22,0.772727273,0.136363636,0.090909091,0.227272727,0.5,0.272727273,0,1,0,0,1,0,0.5,0.5,0,0,0.5,0.5,0.666666667,0.333333333,0,0,0.333333333,0.666666667,0.75,0.25,0,0,0.25,0.75,0.6,0.2,0.2,0,0.2,0.8,0.666666667,0.166666667,0.166666667,0,0.333333333,0.666666667,0.714285714,0.142857143,0.142857143,0,0.428571429,0.571428571,0.75,0.125,0.125,0,0.375,0.625,0.666666667,0.222222222,0.111111111,0,0.444444444,0.555555556,0.7,0.2,0.1,0,0.5,0.5,0.75,0.166666667,0.083333333,0.166666667,0.416666667,0.416666667,0.785714286,0.142857143,0.071428571,0.142857143,0.428571429,0.428571429,0.8125,0.125,0.0625,0.125,0.5,0.375,0.722222222,0.166666667,0.111111111,0.166666667,0.5,0.333333333,0.75,0.15,0.1,0.2,0.5,0.3
Sheffield United,Portsmouth,1,1,D,1,0,1,0,2006-2007,6,5,11,10,6,6,22,22,0.272727273,0.227272727,0.5,0.454545455,0.272727273,0.272727273,0,0,1,0,1,0,0.5,0,0.5,0,0.5,0.5,0.333333333,0,0.666666667,0.333333333,0.333333333,0.333333333,0.25,0,0.75,0.5,0.25,0.25,0.4,0,0.6,0.4,0.4,0.2,0.333333333,0.166666667,0.5,0.5,0.333333333,0.166666667,0.428571429,0.142857143,0.428571429,0.428571429,0.428571429,0.142857143,0.5,0.125,0.375,0.375,0.5,0.125,0.444444444,0.111111111,0.444444444,0.333333333,0.444444444,0.222222222,0.4,0.1,0.5,0.4,0.4,0.2,0.416666667,0.166666667,0.416666667,0.333333333,0.416666667,0.25,0.357142857,0.142857143,0.5,0.357142857,0.357142857,0.285714286,0.375,0.1875,0.4375,0.375,0.3125,0.3125,0.333333333,0.166666667,0.5,0.388888889,0.277777778,0.333333333,0.3,0.2,0.5,0.45,0.25,0.3
West Ham United,Fulham,3,3,D,1,0,1,0,2006-2007,5,3,14,6,9,7,22,22,0.227272727,0.136363636,0.636363636,0.272727273,0.409090909,0.318181818,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0.25,0.75,0,1,0,0.2,0.2,0.6,0.2,0.8,0,0.166666667,0.166666667,0.666666667,0.166666667,0.666666667,0.166666667,0.142857143,0.142857143,0.714285714,0.142857143,0.571428571,0.285714286,0.125,0.125,0.75,0.25,0.5,0.25,0.222222222,0.111111111,0.666666667,0.222222222,0.444444444,0.333333333,0.2,0.1,0.7,0.2,0.4,0.4,0.25,0.083333333,0.666666667,0.25,0.416666667,0.333333333,0.285714286,0.071428571,0.642857143,0.214285714,0.428571429,0.357142857,0.25,0.0625,0.6875,0.25,0.4375,0.3125,0.222222222,0.055555556,0.722222222,0.222222222,0.444444444,0.333333333,0.2,0.1,0.7,0.3,0.4,0.3
Blackburn Rovers,Arsenal,0,2,A,0,0,0,1,2006-2007,8,4,9,11,6,5,21,22,0.380952381,0.19047619,0.428571429,0.5,0.272727273,0.227272727,1,0,0,1,0,0,1,0,0,0.5,0,0.5,1,0,0,0.666666667,0,0.333333333,0.75,0,0.25,0.75,0,0.25,0.8,0,0.2,0.6,0.2,0.2,0.666666667,0,0.333333333,0.666666667,0.166666667,0.166666667,0.571428571,0,0.428571429,0.571428571,0.285714286,0.142857143,0.625,0,0.375,0.625,0.25,0.125,0.555555556,0.111111111,0.333333333,0.555555556,0.222222222,0.222222222,0.5,0.1,0.4,0.5,0.2,0.3,0.416666667,0.083333333,0.5,0.5,0.25,0.25,0.357142857,0.142857143,0.5,0.428571429,0.285714286,0.285714286,0.4375,0.125,0.4375,0.5,0.25,0.25,0.444444444,0.166666667,0.388888889,0.555555556,0.222222222,0.222222222,0.4,0.2,0.4,0.55,0.25,0.2
Everton,Reading,1,1,D,1,0,1,0,2006-2007,8,7,7,9,3,10,22,22,0.363636364,0.318181818,0.318181818,0.409090909,0.136363636,0.454545455,0,0,1,1,0,0,0.5,0,0.5,0.5,0,0.5,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.5,0.25,0.25,0.25,0.25,0.5,0.4,0.2,0.4,0.2,0.2,0.6,0.333333333,0.166666667,0.5,0.166666667,0.333333333,0.5,0.428571429,0.142857143,0.428571429,0.142857143,0.285714286,0.571428571,0.375,0.125,0.5,0.25,0.25,0.5,0.333333333,0.222222222,0.444444444,0.333333333,0.222222222,0.444444444,0.4,0.2,0.4,0.4,0.2,0.4,0.333333333,0.166666667,0.5,0.416666667,0.166666667,0.416666667,0.357142857,0.214285714,0.428571429,0.357142857,0.142857143,0.5,0.3125,0.25,0.4375,0.375,0.125,0.5,0.277777778,0.333333333,0.388888889,0.388888889,0.166666667,0.444444444,0.35,0.3,0.35,0.4,0.15,0.45
Tottenham Hotspur,Newcastle United,2,3,A,0,0,0,1,2006-2007,9,5,8,7,5,10,22,22,0.409090909,0.227272727,0.363636364,0.318181818,0.227272727,0.454545455,0,1,0,0,1,0,0,0.5,0.5,0,0.5,0.5,0.333333333,0.333333333,0.333333333,0,0.333333333,0.666666667,0.25,0.25,0.5,0.25,0.25,0.5,0.4,0.2,0.4,0.4,0.2,0.4,0.5,0.166666667,0.333333333,0.333333333,0.166666667,0.5,0.571428571,0.142857143,0.285714286,0.428571429,0.142857143,0.428571429,0.5,0.125,0.375,0.5,0.125,0.375,0.555555556,0.111111111,0.333333333,0.555555556,0.111111111,0.333333333,0.5,0.2,0.3,0.5,0.2,0.3,0.5,0.166666667,0.333333333,0.416666667,0.25,0.333333333,0.5,0.214285714,0.285714286,0.357142857,0.285714286,0.357142857,0.5,0.25,0.25,0.3125,0.25,0.4375,0.444444444,0.277777778,0.277777778,0.277777778,0.277777778,0.444444444,0.4,0.25,0.35,0.3,0.25,0.45
Liverpool,Chelsea,2,0,H,2,1,0,0,2006-2007,13,4,6,15,6,2,23,23,0.565217391,0.173913043,0.260869565,0.652173913,0.260869565,0.086956522,1,0,0,1,0,0,1,0,0,0.5,0.5,0,1,0,0,0.333333333,0.666666667,0,0.75,0,0.25,0.25,0.75,0,0.8,0,0.2,0.4,0.6,0,0.833333333,0,0.166666667,0.5,0.5,0,0.857142857,0,0.142857143,0.571428571,0.428571429,0,0.875,0,0.125,0.5,0.5,0,0.777777778,0.111111111,0.111111111,0.555555556,0.444444444,0,0.8,0.1,0.1,0.5,0.5,0,0.666666667,0.166666667,0.166666667,0.583333333,0.416666667,0,0.714285714,0.142857143,0.142857143,0.571428571,0.357142857,0.071428571,0.625,0.1875,0.1875,0.625,0.3125,0.0625,0.611111111,0.166666667,0.222222222,0.611111111,0.333333333,0.055555556,0.6,0.15,0.25,0.65,0.3,0.05
Aston Villa,Watford,2,0,H,2,1,0,0,2006-2007,5,11,7,1,9,11,23,21,0.217391304,0.47826087,0.304347826,0.047619048,0.428571429,0.523809524,0,0,1,0,0,1,0,0.5,0.5,0,0.5,0.5,0,0.333333333,0.666666667,0,0.333333333,0.666666667,0,0.25,0.75,0,0.25,0.75,0,0.2,0.8,0,0.2,0.8,0,0.166666667,0.833333333,0,0.333333333,0.666666667,0,0.285714286,0.714285714,0,0.428571429,0.571428571,0,0.375,0.625,0,0.375,0.625,0,0.333333333,0.666666667,0,0.333333333,0.666666667,0,0.4,0.6,0,0.3,0.7,0.083333333,0.416666667,0.5,0.083333333,0.333333333,0.583333333,0.142857143,0.357142857,0.5,0.071428571,0.357142857,0.571428571,0.125,0.4375,0.4375,0.0625,0.4375,0.5,0.166666667,0.444444444,0.388888889,0.055555556,0.444444444,0.5,0.15,0.5,0.35,0.05,0.45,0.5
Fulham,Tottenham Hotspur,1,1,D,1,0,1,0,2006-2007,6,10,7,9,5,9,23,23,0.260869565,0.434782609,0.304347826,0.391304348,0.217391304,0.391304348,0,1,0,0,0,1,0,1,0,0,0.5,0.5,0,1,0,0,0.333333333,0.666666667,0,1,0,0.25,0.25,0.5,0,1,0,0.2,0.2,0.6,0.166666667,0.833333333,0,0.333333333,0.166666667,0.5,0.142857143,0.714285714,0.142857143,0.428571429,0.142857143,0.428571429,0.125,0.625,0.25,0.5,0.125,0.375,0.222222222,0.555555556,0.222222222,0.444444444,0.111111111,0.444444444,0.2,0.5,0.3,0.5,0.1,0.4,0.166666667,0.5,0.333333333,0.416666667,0.166666667,0.416666667,0.214285714,0.428571429,0.357142857,0.428571429,0.214285714,0.357142857,0.25,0.4375,0.3125,0.4375,0.25,0.3125,0.222222222,0.444444444,0.333333333,0.444444444,0.222222222,0.333333333,0.25,0.45,0.3,0.4,0.25,0.35
Middlesbrough,Bolton Wanderers,5,1,H,2,1,0,0,2006-2007,7,6,10,12,4,7,23,23,0.304347826,0.260869565,0.434782609,0.52173913,0.173913043,0.304347826,1,0,0,0,1,0,1,0,0,0,0.5,0.5,0.666666667,0,0.333333333,0.333333333,0.333333333,0.333333333,0.5,0.25,0.25,0.5,0.25,0.25,0.6,0.2,0.2,0.6,0.2,0.2,0.5,0.166666667,0.333333333,0.666666667,0.166666667,0.166666667,0.428571429,0.285714286,0.285714286,0.714285714,0.142857143,0.142857143,0.375,0.25,0.375,0.625,0.125,0.25,0.333333333,0.222222222,0.444444444,0.555555556,0.111111111,0.333333333,0.3,0.3,0.4,0.6,0.1,0.3,0.333333333,0.333333333,0.333333333,0.5,0.166666667,0.333333333,0.285714286,0.285714286,0.428571429,0.428571429,0.142857143,0.428571429,0.375,0.25,0.375,0.5,0.125,0.375,0.333333333,0.222222222,0.444444444,0.555555556,0.111111111,0.333333333,0.3,0.3,0.4,0.55,0.15,0.3
Newcastle United,West Ham United,2,2,D,1,0,1,0,2006-2007,8,5,10,5,4,14,23,23,0.347826087,0.217391304,0.434782609,0.217391304,0.173913043,0.608695652,1,0,0,0,1,0,0.5,0.5,0,0,0.5,0.5,0.333333333,0.333333333,0.333333333,0,0.333333333,0.666666667,0.25,0.25,0.5,0,0.25,0.75,0.4,0.2,0.4,0,0.4,0.6,0.5,0.166666667,0.333333333,0.166666667,0.333333333,0.5,0.428571429,0.142857143,0.428571429,0.142857143,0.285714286,0.571428571,0.5,0.125,0.375,0.125,0.25,0.625,0.555555556,0.111111111,0.333333333,0.111111111,0.222222222,0.666666667,0.6,0.1,0.3,0.2,0.2,0.6,0.5,0.25,0.25,0.166666667,0.166666667,0.666666667,0.428571429,0.285714286,0.285714286,0.285714286,0.142857143,0.571428571,0.375,0.25,0.375,0.25,0.125,0.625,0.333333333,0.277777778,0.388888889,0.222222222,0.111111111,0.666666667,0.35,0.25,0.4,0.2,0.15,0.65
Portsmouth,Charlton Athletic,0,1,A,0,0,0,1,2006-2007,10,7,6,4,4,15,23,23,0.434782609,0.304347826,0.260869565,0.173913043,0.173913043,0.652173913,0,1,0,0,0,1,0,1,0,0,0,1,0,0.666666667,0.333333333,0.333333333,0,0.666666667,0.25,0.5,0.25,0.25,0.25,0.5,0.4,0.4,0.2,0.2,0.2,0.6,0.333333333,0.5,0.166666667,0.166666667,0.166666667,0.666666667,0.428571429,0.428571429,0.142857143,0.142857143,0.142857143,0.714285714,0.375,0.5,0.125,0.25,0.125,0.625,0.333333333,0.555555556,0.111111111,0.222222222,0.111111111,0.666666667,0.3,0.5,0.2,0.2,0.2,0.6,0.333333333,0.5,0.166666667,0.166666667,0.166666667,0.666666667,0.357142857,0.428571429,0.214285714,0.214285714,0.214285714,0.571428571,0.375,0.375,0.25,0.1875,0.25,0.5625,0.333333333,0.333333333,0.333333333,0.166666667,0.222222222,0.611111111,0.4,0.3,0.3,0.15,0.2,0.65
Reading,Sheffield United,3,1,H,2,1,0,0,2006-2007,9,4,10,6,6,11,23,23,0.391304348,0.173913043,0.434782609,0.260869565,0.260869565,0.47826087,0,1,0,0,1,0,0.5,0.5,0,0,0.5,0.5,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.25,0.5,0.25,0.25,0.25,0.5,0.2,0.4,0.4,0.2,0.2,0.6,0.166666667,0.333333333,0.5,0.333333333,0.166666667,0.5,0.142857143,0.428571429,0.428571429,0.285714286,0.285714286,0.428571429,0.125,0.375,0.5,0.375,0.25,0.375,0.222222222,0.333333333,0.444444444,0.444444444,0.222222222,0.333333333,0.3,0.3,0.4,0.4,0.2,0.4,0.416666667,0.25,0.333333333,0.333333333,0.25,0.416666667,0.357142857,0.214285714,0.428571429,0.357142857,0.214285714,0.428571429,0.3125,0.1875,0.5,0.3125,0.25,0.4375,0.333333333,0.222222222,0.444444444,0.333333333,0.222222222,0.444444444,0.4,0.2,0.4,0.3,0.25,0.45
Manchester City,Blackburn Rovers,0,3,A,0,0,0,1,2006-2007,8,6,9,8,4,10,23,22,0.347826087,0.260869565,0.391304348,0.363636364,0.181818182,0.454545455,0,1,0,0,0,1,0.5,0.5,0,0.5,0,0.5,0.666666667,0.333333333,0,0.666666667,0,0.333333333,0.75,0.25,0,0.75,0,0.25,0.6,0.2,0.2,0.6,0,0.4,0.5,0.166666667,0.333333333,0.666666667,0,0.333333333,0.428571429,0.142857143,0.428571429,0.571428571,0,0.428571429,0.375,0.25,0.375,0.5,0,0.5,0.444444444,0.222222222,0.333333333,0.555555556,0,0.444444444,0.4,0.2,0.4,0.5,0.1,0.4,0.416666667,0.25,0.333333333,0.416666667,0.083333333,0.5,0.428571429,0.214285714,0.357142857,0.357142857,0.071428571,0.571428571,0.375,0.25,0.375,0.375,0.125,0.5,0.388888889,0.277777778,0.333333333,0.444444444,0.111111111,0.444444444,0.35,0.25,0.4,0.4,0.15,0.45
Wigan Athletic,Everton,0,2,A,0,0,0,1,2006-2007,6,4,12,8,8,7,22,23,0.272727273,0.181818182,0.545454545,0.347826087,0.347826087,0.304347826,0,0,1,0,1,0,0,0,1,0,0.5,0.5,0,0,1,0.333333333,0.333333333,0.333333333,0,0,1,0.25,0.5,0.25,0,0,1,0.4,0.4,0.2,0,0,1,0.333333333,0.333333333,0.333333333,0,0.142857143,0.857142857,0.285714286,0.285714286,0.428571429,0.125,0.125,0.75,0.375,0.25,0.375,0.111111111,0.111111111,0.777777778,0.333333333,0.222222222,0.444444444,0.1,0.1,0.8,0.3,0.3,0.4,0.166666667,0.166666667,0.666666667,0.333333333,0.25,0.416666667,0.285714286,0.142857143,0.571428571,0.285714286,0.285714286,0.428571429,0.3125,0.125,0.5625,0.3125,0.25,0.4375,0.277777778,0.166666667,0.555555556,0.277777778,0.333333333,0.388888889,0.25,0.2,0.55,0.3,0.35,0.35
Arsenal,Manchester United,2,1,H,2,1,0,0,2006-2007,12,6,5,18,3,2,23,23,0.52173913,0.260869565,0.217391304,0.782608696,0.130434783,0.086956522,1,0,0,1,0,0,1,0,0,0.5,0.5,0,0.666666667,0,0.333333333,0.666666667,0.333333333,0,0.75,0,0.25,0.75,0.25,0,0.8,0,0.2,0.8,0.2,0,0.666666667,0.166666667,0.166666667,0.666666667,0.166666667,0.166666667,0.714285714,0.142857143,0.142857143,0.714285714,0.142857143,0.142857143,0.625,0.25,0.125,0.75,0.125,0.125,0.666666667,0.222222222,0.111111111,0.777777778,0.111111111,0.111111111,0.6,0.2,0.2,0.7,0.2,0.1,0.5,0.25,0.25,0.75,0.166666667,0.083333333,0.5,0.214285714,0.285714286,0.785714286,0.142857143,0.071428571,0.5,0.25,0.25,0.8125,0.125,0.0625,0.555555556,0.222222222,0.222222222,0.777777778,0.166666667,0.055555556,0.6,0.2,0.2,0.75,0.15,0.1
Watford,Blackburn Rovers,2,1,H,2,1,0,0,2006-2007,1,9,12,9,4,10,22,23,0.045454545,0.409090909,0.545454545,0.391304348,0.173913043,0.434782609,0,0,1,1,0,0,0,0,1,0.5,0,0.5,0,0.333333333,0.666666667,0.666666667,0,0.333333333,0,0.25,0.75,0.75,0,0.25,0,0.2,0.8,0.8,0,0.2,0,0.166666667,0.833333333,0.666666667,0,0.333333333,0,0.285714286,0.714285714,0.714285714,0,0.285714286,0,0.375,0.625,0.625,0,0.375,0,0.333333333,0.666666667,0.555555556,0,0.444444444,0,0.3,0.7,0.6,0,0.4,0.083333333,0.25,0.666666667,0.5,0.083333333,0.416666667,0.071428571,0.357142857,0.571428571,0.428571429,0.071428571,0.5,0.0625,0.375,0.5625,0.375,0.125,0.5,0.055555556,0.444444444,0.5,0.444444444,0.111111111,0.444444444,0.05,0.4,0.55,0.45,0.15,0.4
Portsmouth,Middlesbrough,0,0,D,1,0,1,0,2006-2007,10,7,7,8,6,10,24,24,0.416666667,0.291666667,0.291666667,0.333333333,0.25,0.416666667,0,0,1,1,0,0,0,0.5,0.5,1,0,0,0,0.666666667,0.333333333,1,0,0,0,0.5,0.5,0.75,0,0.25,0.2,0.4,0.4,0.6,0.2,0.2,0.333333333,0.333333333,0.333333333,0.666666667,0.166666667,0.166666667,0.285714286,0.428571429,0.285714286,0.571428571,0.142857143,0.285714286,0.375,0.375,0.25,0.5,0.25,0.25,0.333333333,0.444444444,0.222222222,0.444444444,0.222222222,0.333333333,0.3,0.5,0.2,0.4,0.2,0.4,0.333333333,0.416666667,0.25,0.333333333,0.333333333,0.333333333,0.285714286,0.428571429,0.285714286,0.357142857,0.285714286,0.357142857,0.3125,0.375,0.3125,0.375,0.25,0.375,0.333333333,0.333333333,0.333333333,0.388888889,0.222222222,0.388888889,0.35,0.3,0.35,0.35,0.25,0.4
Sheffield United,Fulham,2,0,H,2,1,0,0,2006-2007,6,6,12,6,11,7,24,24,0.25,0.25,0.5,0.25,0.458333333,0.291666667,0,0,1,0,1,0,0,0.5,0.5,0,1,0,0,0.333333333,0.666666667,0,1,0,0.25,0.25,0.5,0,1,0,0.2,0.2,0.6,0,1,0,0.166666667,0.166666667,0.666666667,0,1,0,0.285714286,0.142857143,0.571428571,0.142857143,0.857142857,0,0.25,0.25,0.5,0.125,0.75,0.125,0.333333333,0.222222222,0.444444444,0.111111111,0.666666667,0.222222222,0.4,0.2,0.4,0.2,0.6,0.2,0.333333333,0.166666667,0.5,0.166666667,0.5,0.333333333,0.357142857,0.214285714,0.428571429,0.214285714,0.5,0.285714286,0.3125,0.1875,0.5,0.1875,0.5,0.3125,0.333333333,0.222222222,0.444444444,0.222222222,0.5,0.277777778,0.3,0.2,0.5,0.2,0.5,0.3
West Ham United,Liverpool,1,2,A,0,0,0,1,2006-2007,5,5,14,14,4,6,24,24,0.208333333,0.208333333,0.583333333,0.583333333,0.166666667,0.25,0,1,0,1,0,0,0,1,0,1,0,0,0,0.666666667,0.333333333,1,0,0,0,0.5,0.5,1,0,0,0,0.4,0.6,0.8,0,0.2,0,0.5,0.5,0.833333333,0,0.166666667,0.142857143,0.428571429,0.428571429,0.857142857,0,0.142857143,0.125,0.375,0.5,0.875,0,0.125,0.111111111,0.333333333,0.555555556,0.888888889,0,0.111111111,0.1,0.3,0.6,0.8,0.1,0.1,0.166666667,0.25,0.583333333,0.75,0.166666667,0.083333333,0.214285714,0.214285714,0.571428571,0.714285714,0.142857143,0.142857143,0.25,0.1875,0.5625,0.6875,0.125,0.1875,0.222222222,0.166666667,0.611111111,0.611111111,0.166666667,0.222222222,0.2,0.15,0.65,0.65,0.15,0.2
Reading,Wigan Athletic,3,2,H,2,1,0,0,2006-2007,10,4,10,6,4,13,24,23,0.416666667,0.166666667,0.416666667,0.260869565,0.173913043,0.565217391,1,0,0,0,0,1,0.5,0.5,0,0,0,1,0.666666667,0.333333333,0,0,0,1,0.5,0.25,0.25,0,0,1,0.4,0.4,0.2,0,0,1,0.333333333,0.333333333,0.333333333,0,0,1,0.285714286,0.285714286,0.428571429,0,0,1,0.25,0.375,0.375,0,0.125,0.875,0.222222222,0.333333333,0.444444444,0.111111111,0.111111111,0.777777778,0.3,0.3,0.4,0.1,0.1,0.8,0.416666667,0.25,0.333333333,0.083333333,0.166666667,0.75,0.428571429,0.214285714,0.357142857,0.214285714,0.142857143,0.642857143,0.375,0.1875,0.4375,0.3125,0.125,0.5625,0.388888889,0.166666667,0.444444444,0.277777778,0.111111111,0.611111111,0.4,0.2,0.4,0.25,0.2,0.55
Chelsea,Blackburn Rovers,3,0,H,2,1,0,0,2006-2007,15,6,3,9,4,11,24,24,0.625,0.25,0.125,0.375,0.166666667,0.458333333,0,0,1,0,0,1,0.5,0,0.5,0.5,0,0.5,0.333333333,0.333333333,0.333333333,0.333333333,0,0.666666667,0.25,0.5,0.25,0.5,0,0.5,0.2,0.6,0.2,0.6,0,0.4,0.333333333,0.5,0.166666667,0.666666667,0,0.333333333,0.428571429,0.428571429,0.142857143,0.571428571,0,0.428571429,0.5,0.375,0.125,0.625,0,0.375,0.444444444,0.444444444,0.111111111,0.555555556,0,0.444444444,0.5,0.4,0.1,0.5,0,0.5,0.5,0.416666667,0.083333333,0.5,0.083333333,0.416666667,0.5,0.357142857,0.142857143,0.428571429,0.071428571,0.5,0.5625,0.3125,0.125,0.375,0.0625,0.5625,0.555555556,0.333333333,0.111111111,0.388888889,0.111111111,0.5,0.6,0.3,0.1,0.45,0.1,0.45
Bolton Wanderers,Charlton Athletic,1,1,D,1,0,1,0,2006-2007,12,4,8,5,4,15,24,24,0.5,0.166666667,0.333333333,0.208333333,0.166666667,0.625,0,0,1,1,0,0,0,0.5,0.5,0.5,0,0.5,0,0.333333333,0.666666667,0.333333333,0,0.666666667,0.25,0.25,0.5,0.5,0,0.5,0.4,0.2,0.4,0.4,0.2,0.4,0.5,0.166666667,0.333333333,0.333333333,0.166666667,0.5,0.571428571,0.142857143,0.285714286,0.285714286,0.142857143,0.571428571,0.625,0.125,0.25,0.25,0.125,0.625,0.555555556,0.111111111,0.333333333,0.333333333,0.111111111,0.555555556,0.5,0.1,0.4,0.3,0.1,0.6,0.5,0.083333333,0.416666667,0.25,0.166666667,0.583333333,0.428571429,0.142857143,0.428571429,0.285714286,0.142857143,0.571428571,0.4375,0.125,0.4375,0.25,0.25,0.5,0.5,0.111111111,0.388888889,0.222222222,0.222222222,0.555555556,0.5,0.15,0.35,0.2,0.2,0.6
Manchester United,Watford,4,0,H,2,1,0,0,2006-2007,18,3,3,2,9,12,24,23,0.75,0.125,0.125,0.086956522,0.391304348,0.52173913,0,0,1,1,0,0,0.5,0,0.5,0.5,0,0.5,0.333333333,0.333333333,0.333333333,0.333333333,0,0.666666667,0.5,0.25,0.25,0.25,0.25,0.5,0.6,0.2,0.2,0.2,0.2,0.6,0.666666667,0.166666667,0.166666667,0.166666667,0.166666667,0.666666667,0.571428571,0.142857143,0.285714286,0.142857143,0.142857143,0.714285714,0.625,0.125,0.25,0.125,0.25,0.625,0.666666667,0.111111111,0.222222222,0.111111111,0.333333333,0.555555556,0.7,0.1,0.2,0.1,0.3,0.6,0.666666667,0.166666667,0.166666667,0.083333333,0.25,0.666666667,0.714285714,0.142857143,0.142857143,0.142857143,0.285714286,0.571428571,0.75,0.125,0.125,0.125,0.3125,0.5625,0.777777778,0.111111111,0.111111111,0.111111111,0.388888889,0.5,0.7,0.15,0.15,0.1,0.4,0.5
Newcastle United,Aston Villa,3,1,H,2,1,0,0,2006-2007,8,6,10,6,11,7,24,24,0.333333333,0.25,0.416666667,0.25,0.458333333,0.291666667,0,1,0,1,0,0,0.5,0.5,0,0.5,0,0.5,0.333333333,0.666666667,0,0.333333333,0.333333333,0.333333333,0.25,0.5,0.25,0.25,0.25,0.5,0.2,0.4,0.4,0.2,0.2,0.6,0.333333333,0.333333333,0.333333333,0.166666667,0.166666667,0.666666667,0.428571429,0.285714286,0.285714286,0.142857143,0.142857143,0.714285714,0.375,0.25,0.375,0.125,0.25,0.625,0.444444444,0.222222222,0.333333333,0.111111111,0.333333333,0.555555556,0.5,0.2,0.3,0.1,0.3,0.6,0.5,0.25,0.25,0.083333333,0.416666667,0.5,0.428571429,0.285714286,0.285714286,0.214285714,0.357142857,0.428571429,0.375,0.3125,0.3125,0.1875,0.375,0.4375,0.333333333,0.277777778,0.388888889,0.166666667,0.444444444,0.388888889,0.3,0.3,0.4,0.2,0.45,0.35
Liverpool,Everton,0,0,D,1,0,1,0,2006-2007,15,4,6,9,8,7,25,24,0.6,0.16,0.24,0.375,0.333333333,0.291666667,1,0,0,1,0,0,1,0,0,0.5,0.5,0,1,0,0,0.333333333,0.333333333,0.333333333,1,0,0,0.5,0.25,0.25,1,0,0,0.4,0.4,0.2,0.833333333,0,0.166666667,0.5,0.333333333,0.166666667,0.857142857,0,0.142857143,0.428571429,0.285714286,0.285714286,0.875,0,0.125,0.375,0.25,0.375,0.888888889,0,0.111111111,0.444444444,0.222222222,0.333333333,0.9,0,0.1,0.4,0.2,0.4,0.833333333,0.083333333,0.083333333,0.416666667,0.25,0.333333333,0.714285714,0.142857143,0.142857143,0.357142857,0.214285714,0.428571429,0.75,0.125,0.125,0.375,0.25,0.375,0.666666667,0.166666667,0.166666667,0.333333333,0.277777778,0.388888889,0.65,0.15,0.2,0.3,0.35,0.35
